Req ID,Type,Requirement,Spec reference,Implementation (file:function),Verification (TC IDs),Evidence path(s),"Status",Notes
RQ-01,Design,Use PLL to generate 20 MHz system clock,Implementation Constraints,PLL.c : PLL_Init(),TC-SYS-001,evidence\Timer0A Variance Test.png,Done,
CN-01,Constraint,Use Hardware Timer GPTimer0A,Implementation Constraints,Timer0A.c : Timer0A_Init(),CR-001,evidence\Timer0A Variance Test.png,Done,
CN-02,Constraint,Use Hardware Interrupt for GPTimer0A,Implementation Constraints,Timer0A.c : Timer0A_Init(),CR-002,evidence\Timer0A Variance Test.png,Done,
CN-03,Constraint,Use Port F Interrupt for On-Board Buttons,Implementation Constraints,Switches.c : PortF_Init(),CR-003,evidence\OnBoard Button Test.mov,Done,
CN-04,Constraint,Use Port E Interrupt for Added Push Buttons,Implementation Constraints,Switches.c: PortE_Init(),CR-004,evidence\Piano Key test.mov,Done,
RQ-02,Functional,Press Push Button of Port E0 to play piano note C,Operating Modes,"Main.c : main(), PortE_Handler()",TC-INT-001,evidence\ Piano Key Test.mov,In-Progress,More evidence to come; share between both systems
RQ-03,Functional,Press Push Button of Port E1 to play piano note D,Operating Modes,"Main.c : main(), PortE_Handler()",TC-INT-002,,In-Progress,More evidence to come; share between both systems
RQ-04,Functional,Press Push Button of Port E2 to play piano note E,Operating Modes,"Main.c : main(), PortE_Handler()",TC-INT-003,,In-Progress,More evidence to come; share between both systems
RQ-05,Functional,Press Push Button of Port E3 to play piano note F,Operating Modes,"Main.c : main(), PortE_Handler()",TC-INT-004,,In-Progress,More evidence to come; share between both systems
RQ-06,Functional,Press On Board Switch 1 to switch mode,User Controls,"Main.c : main(), PortF_Handler()",TC-MOD-001,evidence\OnBoard Button Test.mov,In-Progress,More evidence to come; share between both systems
RQ-07,Functional,Press On Board Switch 2 to switch octave or song,User Controls,"Main.c : main(), PortF_Handler()",TC-INT-005,,In-Progress,More evidence to come; share between both systems
RQ-08,Design,System P1 uses Square Wave output,System Requirements,"Main.c : main(), playSong()",CR-005,,In-Progress,More evidence to come
RQ-09,Design,System P2 uses Sine Wave output,System Requirements,"Main.c : main(), playSong(), DAC_Out()",CR-006,evidence\SINE wave Value.png,In-Progress,More evidence to come
RQ-10,Functional,DAC plays sound,System Requirements,"DAC.c : DAC_Init(), DAC_Out()",TC-MOD-002,evidence\System 2 Freq Check.mp4,In-Progress,
RQ-11,Functional,"Autoplay song in mode 2, song starts at beginning when changed",Operating Modes,"Main.c : main(), PortF_Handler(), playSong()",TC-INT-006,evidence\AutoPlaytest.mov,In-Progress,
RQ-12,Functional,"Mode 1 is Piano Mode, default setting after reset",Operating Modes,Main.c : main(),TC-INT-007,evidence\OnBoard Button Test.mov,In-Progress,More evidence to come; share between both systems
RQ-13,Functional,Default on reset is Piano mode.,Operating Modes – Mode 1 (Piano mode),Main.c : main(),TC-INT-008,evidence\OnBoard Button Test.mov,In-Progress,More evidence to come; share between both systems
RQ-14,Functional,Piano keys: press-and-hold plays note continuously; release stops immediately (no gaps while held).,User controls table; Mode 1 – Piano mode,"Main.c : main(), PortE_Handler(), DAC_Out()",TC-INT-009,evidence\ Piano Key Test.mov,In-Progress,More evidence to come; share between both systems
RQ-15,Constraint,Assume no more than one piano key is pressed at a time.,Overview (assumption),"Main.c : main(), PortE_Handler(), DAC_Out()",CR-006,evidence\ Piano Key Test.mov,In-Progress,More evidence to come; share between both systems
RQ-16,Functional,"In Piano mode, Switch 2 cycles octaves (Lower→Middle→Upper) round-robin; starts in Lower after reset.",Mode 1 – Piano mode (Octave selection),"Main.c : main(), PortE_Handler(), DAC_Out()",TC-INT-010,evidence\OnBoard Button Test.mov,In-Progress,More evidence to come; share between both systems
RQ-17,Functional,Note frequencies match spec for C/D/E/F across octaves (Lower:262/294/330/349; Middle:523/587/659/698; Upper:1046/1174/1318/1396 Hz).,Note Frequencies table,"DAC.c : PortE_Handler(), DAC_Out()",TC-INT-011,evidence\System 1 Song Check; evidence\System 2 Freq Check,In-Progress,More evidence to come; share between both systems
RQ-18,Functional,"Auto-play mode plays one of three songs (Mary, Twinkle, Happy Birthday) and repeats selected song until changed.",Mode 2 – Auto-play mode,"Main.c : main(), playSong()",TC-INT-012,,"Not started",
RQ-19,Functional,Entering Auto-play starts the currently selected song at the octave last chosen in Piano mode.,Mode 2 – Auto-play mode; Note Frequencies,"Main.c : main(), playSong()",TC-INT-013,"evidence\OnBoard Button Test.mov, evidence\AutoPlaytest.mov",In-Progress,More evidence to come; share between both systems
RQ-20,Functional,"In Auto-play, Switch 2 cycles songs round-robin; new selection restarts immediately and may occur at any time.",Mode 2 – Auto-play mode,"Main.c : main(), playSong()",TC-INT-014,"evidence\OnBoard Button Test.mov, evidence\AutoPlaytest.mov",In-Progress,More evidence to come; share between both systems
RQ-21,Design,Represent and play songs using provided note + duration tables (quarter note = 4 units).,Appendix – Song note sequences,"Main.c : main(), playSong(), DAC_Out()",TC-INT-015,,"Not started",
RQ-23,Functional,System 1: generate square wave by toggling a GPIO in a timer ISR at the correct rate for the selected note.,Waveform generation – System 1 (square wave),"DAC.c : DAC_Init(), DAC_Out()",TC-INT-016,evidence\System 1 Song Check,In-Progress,More evidence to come
RQ-24,Functional,System 2: 6-bit R2R DAC with 64-sample sine table; timer ISR advances sample index so output frequency matches note.,Waveform generation – System 2 (DAC sine),"DAC.c : DAC_Init(), DAC_Out()",TC-INT-017,evidence\System 2 Freq Check,In-Progress,More evidence to come
RQ-25,Constraint,"Hardware uses TM4C123 LaunchPad, 4 piano keys, speaker; System 2 add amplifier and 6-bit R2R DAC hardware.",Hardware/Components,,CR-007,"evidence\Hardware System 1.png, evidence\Hardware System 2.png",Done,More evidence to come; share between both systems
